6 attributes, 2 values, 2 classes
-- training --
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
0 0 0 0 1 1 1
0 0 0 0 1 1 1
0 0 0 0 1 1 1
1 1 1 1 0 0 0
1 1 1 1 0 0 0
